,xgb_oof_score
ENSP00000344786,0.9133039116859436
ENSP00000349465,0.26147979497909546
ENSP00000350676,0.6971668601036072
ENSP00000353643,0.1695912629365921
ENSP00000411593,0.553760826587677
ENSP00000261523,0.6480915546417236
ENSP00000262138,0.7761560678482056
ENSP00000303092,0.4537757933139801
ENSP00000357907,0.2342333197593689
ENSP00000379144,0.7962466478347778
ENSP00000399982,0.1915234923362732
ENSP00000412673,0.18276235461235046
ENSP00000243457,0.6615219712257385
ENSP00000264318,0.9186755418777466
ENSP00000288135,0.05574198067188263
ENSP00000313881,0.31706416606903076
ENSP00000333277,0.1916937381029129
ENSP00000216267,0.6985267996788025
ENSP00000290921,0.514075517654419
ENSP00000296122,0.5273767709732056
ENSP00000326477,0.028922369703650475
ENSP00000365877,0.27182537317276
ENSP00000369131,0.599868655204773
ENSP00000430432,0.057757895439863205
ENSP00000215095,0.4246448576450348
ENSP00000320147,0.6464464068412781
ENSP00000333024,0.7463686466217041
ENSP00000365682,0.3458199203014374
ENSP00000459789,0.19039195775985718
ENSP00000367570,0.05318520590662956
ENSP00000371985,0.6567739844322205
ENSP00000280097,0.17400185763835907
ENSP00000254480,0.5431202054023743
ENSP00000282493,0.8423970341682434
ENSP00000300651,0.3318104147911072
ENSP00000303540,0.9995385408401489
ENSP00000320246,0.6241846084594727
ENSP00000364591,0.6100509166717529
ENSP00000370109,0.21252474188804626
ENSP00000251900,0.3291065990924835
ENSP00000259050,0.16379913687705994
ENSP00000319591,0.9166268706321716
ENSP00000250615,0.028003262355923653
ENSP00000262144,0.28077009320259094
ENSP00000265562,0.0976603627204895
ENSP00000319104,0.5123047828674316
ENSP00000320025,0.524728000164032
ENSP00000341805,0.12458968907594681
ENSP00000368332,0.6253218054771423
ENSP00000369424,0.16327297687530518
ENSP00000378451,0.7103177309036255
ENSP00000404658,0.43290597200393677
ENSP00000417401,0.17644739151000977
ENSP00000268712,0.8331738710403442
ENSP00000338629,0.9370943307876587
ENSP00000355778,0.06359268724918365
ENSP00000398824,0.9378808736801147
ENSP00000295066,0.053157780319452286
ENSP00000306983,0.1027945727109909
ENSP00000344087,0.9979792237281799
ENSP00000225396,0.12099248170852661
ENSP00000262608,0.10915837436914444
ENSP00000265969,0.9605900645256042
ENSP00000316578,0.2755697965621948
ENSP00000325690,0.36493420600891113
ENSP00000350549,0.11783720552921295
ENSP00000362592,0.06571263819932938
ENSP00000372347,0.9261272549629211
ENSP00000373648,0.9870592355728149
ENSP00000262367,0.9827151894569397
ENSP00000290332,0.2838474214076996
ENSP00000323967,0.8162323832511902
ENSP00000222812,0.29333555698394775
