row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
13672,36766,"ENSG00000173706","HEG1",57493
13673,79031,"ENSG00000173714","WFIKKN2",124857
13674,55506,"ENSG00000173715","C11orf80",79703
13675,9660,"ENSG00000173726","TOMM20",9804
13676,,"ENSG00000173727","AP000769.3",
13677,83535,"ENSG00000173728","C1orf100",200159
13678,3247,"ENSG00000173744","AGFG1",3267
13679,6737,"ENSG00000173757","STAT5B",6777
13680,919,"ENSG00000173762","CD7",924
13681,119577,"ENSG00000173769","C3orf77",375337
13682,1258,"ENSG00000173786","CNP",1267
13683,3703,"ENSG00000173801","JUP",3728
13684,8891,"ENSG00000173805","HAP1",9001
13685,60074,"ENSG00000173809","TDRD12",91646
13686,10063,"ENSG00000173812","EIF1",10209
13687,94192,"ENSG00000173818","AC120024.1",284131
13688,36947,"ENSG00000173821","RNF213",57674
13689,85639,"ENSG00000173825","TIGD3",220359
13690,56744,"ENSG00000173826","KCNH6",81033
13691,,"ENSG00000173827","AP005597.2",
13692,81537,"ENSG00000173838","MARCH10",162333
13693,1254,"ENSG00000173846","PLK3",1263
13694,10130,"ENSG00000173848","NET1",10276
13695,23088,"ENSG00000173852","DPY19L1",23333
13696,,"ENSG00000173862","RP11-89N17.1",
13697,,"ENSG00000173867","MRPL46",
13698,81543,"ENSG00000173868","PHOSPHO1",162466
13699,81569,"ENSG00000173875","ZNF791",163049
13700,110297,"ENSG00000173876","TUBB4Q",347688
13701,55814,"ENSG00000173889","PHC3",80012
13702,26741,"ENSG00000173890","GPR160",26996
13703,58929,"ENSG00000173894","CBX2",84733
13704,6672,"ENSG00000173898","SPTBN2",6712
13705,27078,"ENSG00000173905","GOLIM4",27333
13706,81550,"ENSG00000173908","KRT28",162605
13707,58001,"ENSG00000173914","RBM4B",83759
13708,59023,"ENSG00000173915","USMG5",84833
13709,3192,"ENSG00000173917","HOXB2",3212
13710,77613,"ENSG00000173918","C1QTNF1",114897
13711,77655,"ENSG00000173926","MARCH3",115123
13712,79104,"ENSG00000173928","C19orf39",126074
13713,110668,"ENSG00000173930","SLCO4C1",353189
13714,5904,"ENSG00000173933","RBM4",5936
13715,79275,"ENSG00000173947","C1orf88",128344
13716,81028,"ENSG00000173950","C3orf21",152002
