,xgb_oof_score
ENSP00000346671,0.3620468080043793
ENSP00000351947,0.3648648560047149
ENSP00000355094,0.0620271973311901
ENSP00000359531,0.4256517291069031
ENSP00000362287,0.0374251492321491
ENSP00000362820,0.0816734582185745
ENSP00000364831,0.7303447723388672
ENSP00000444293,0.3002368509769439
ENSP00000221283,0.2294116020202636
ENSP00000225728,0.3052672147750854
ENSP00000253571,0.1828518807888031
ENSP00000256078,0.5845322012901306
ENSP00000263382,0.007081854622811
ENSP00000264010,0.9469484090805054
ENSP00000299601,0.6053189635276794
ENSP00000322845,0.4465522468090057
ENSP00000324897,0.0631692185997963
ENSP00000329170,0.1827662289142608
ENSP00000335044,0.9135130643844604
ENSP00000341138,0.1964293122291565
ENSP00000357461,0.3485190868377685
ENSP00000358784,0.7308772206306458
ENSP00000367207,0.0896515175700187
ENSP00000371419,0.5615968704223633
ENSP00000373347,0.9937806725502014
ENSP00000390600,0.5818985104560852
ENSP00000394932,0.0683861523866653
ENSP00000410943,0.0872818678617477
ENSP00000251757,0.1953256130218505
ENSP00000263119,0.3966373801231384
ENSP00000268482,0.0997140333056449
ENSP00000286371,0.2094574272632599
ENSP00000295101,0.802747905254364
ENSP00000296504,0.1939661055803299
ENSP00000302216,0.0871678441762924
ENSP00000311290,0.2773262560367584
ENSP00000339529,0.1892397850751876
ENSP00000345259,0.342742919921875
ENSP00000353646,0.1761556267738342
ENSP00000362063,0.1023980677127838
ENSP00000382770,0.4144874811172485
ENSP00000396320,0.1681486815214157
ENSP00000256509,0.6165208220481873
ENSP00000258796,0.2559349238872528
ENSP00000274093,0.6136493682861328
ENSP00000294638,0.4932424426078796
ENSP00000297540,0.0972904115915298
ENSP00000323588,0.3230535089969635
ENSP00000344782,0.0752131566405296
ENSP00000358460,0.2519006133079529
ENSP00000363804,0.2080338448286056
ENSP00000385586,0.3348596692085266
ENSP00000258106,0.7682758569717407
ENSP00000263694,0.2297568917274475
ENSP00000293970,0.4236176013946533
ENSP00000296417,0.0433546155691146
ENSP00000309555,0.766465961933136
ENSP00000324074,0.3352002799510956
ENSP00000337340,0.1140862926840782
ENSP00000340874,0.9016534686088562
ENSP00000345731,0.543350100517273
ENSP00000356405,0.656442403793335
ENSP00000359215,0.2391559183597564
ENSP00000359729,0.7656393647193909
ENSP00000374152,0.1226480156183242
ENSP00000380024,0.0685863867402076
ENSP00000393198,0.0077430959790945
ENSP00000417686,0.150558054447174
ENSP00000217073,0.1348203122615814
ENSP00000229239,0.0434562303125858
ENSP00000261173,0.5897846817970276
ENSP00000261454,0.3986098766326904
ENSP00000263354,0.1839493513107299
ENSP00000265734,0.0712046176195144
ENSP00000270349,0.7786449790000916
ENSP00000283195,0.7875701189041138
ENSP00000296127,0.2959546744823456
ENSP00000298681,0.385099321603775
ENSP00000300873,0.0836996883153915
ENSP00000306275,0.4959059357643127
ENSP00000312697,0.406938374042511
ENSP00000333275,0.1990214586257934
ENSP00000337697,0.8676096796989441
ENSP00000341882,0.6717466115951538
ENSP00000349259,0.94691264629364
ENSP00000351552,0.0696396455168724
ENSP00000370340,0.9778841733932496
ENSP00000371003,0.9968284964561462
ENSP00000374357,0.633882462978363
ENSP00000381740,0.071651741862297
ENSP00000385019,0.6654254794120789
ENSP00000395929,0.7988423109054565
ENSP00000405738,0.0718836933374404
ENSP00000257118,0.4106633067131042
ENSP00000261017,0.9383398294448853
ENSP00000265713,0.9759432673454284
ENSP00000291386,0.0607732534408569
ENSP00000310557,0.0751287117600441
ENSP00000329933,0.9480590224266052
ENSP00000331614,0.3754195272922516
ENSP00000337452,0.4039357602596283
ENSP00000337746,0.1310712099075317
ENSP00000363480,0.8699982166290283
ENSP00000370614,0.7271331548690796
ENSP00000376432,0.1008527651429176
ENSP00000377298,0.5686990022659302
ENSP00000386357,0.7619637250900269
ENSP00000391447,0.7609610557556152
ENSP00000230354,0.1153416484594345
