gene,gene_gencodeV33,gene_id,chromosome,ASD72,ASD185,DD309,DD477,NDD373,NDD664,Satterstrom102,SCZ10,SCZ244,FDR_TADA_ASD,FDR_TADA_DD,FDR_TADA_NDD,p_TADA_ASD,p_TADA_DD,p_TADA_NDD,l10BF_ASD_PTV,l10BF_ASD_misB,l10BF_ASD_misA,l10BF_ASD_DEL,l10BF_ASD_DUP,l10BF_DD_PTV,l10BF_DD_misB,l10BF_DD_misA
PRAMEF7,PRAMEF7,ENSG00000204510,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909405134,0.911626681,0.876462038,0.957893874,0.936183804,0.956736629,0,0,0,0,0,0,0,0
OR10R2,OR10R2,ENSG00000198965,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887802687,0.911628936,0.841943966,0.610345772,0.936241141,0.625467927,9.64E-17,0,0,0,0,0,0,0
IGFALS,IGFALS,ENSG00000099769,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909407467,0.911631191,0.876466264,0.957951396,0.936298478,0.956796221,0,0,0,0,0,0,0,0
DYNLRB2,DYNLRB2,ENSG00000168589,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9094098,0.911633446,0.876470489,0.958008918,0.936355815,0.956855812,0,0,0,0,0,0,0,0
UBL4B,UBL4B,ENSG00000186150,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909412133,0.9116357,0.876474714,0.95806644,0.936413153,0.956915404,0,0,0,0,0,0,0,0
ZNF736,ZNF736,ENSG00000234444,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909414466,0.911637954,0.876478938,0.958123962,0.93647049,0.956974995,0,0,0,0,0,0,0,0
LCE1B,LCE1B,ENSG00000196734,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909416798,0.911640208,0.876483161,0.958181485,0.936527827,0.957034586,0,0,0,0,0,0,0,0
TRIM65,TRIM65,ENSG00000141569,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.882859071,0.911642462,0.833853003,0.562257355,0.936585164,0.576305006,1.93E-16,0,0,0,0,0,0,0
FAM86B1,FAM86B1,ENSG00000186523,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.90941913,0.911644715,0.876487385,0.958239007,0.936642501,0.957094178,0,0,0,0,0,0,0,0
KRTAP2-3,KRTAP2-3,ENSG00000212724,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.79510166,0.911646968,0.716584688,0.207544524,0.936699838,0.239762171,0,0,0.154481147,0,0,0,0,0
FAM72D,FAM72D,ENSG00000215784,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909421462,0.911649221,0.876491607,0.958296529,0.936757175,0.957153769,0,0,0,0,0,0,0,0
C1orf200,PIK3CD-AS1,ENSG00000179840,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909423794,0.911651473,0.876495829,0.958354051,0.936814512,0.957213361,0,0,0,0,0,0,0,0
